Statistics_Flights_Delayed,Time_Label
122727,2007/12
112212,2007/06
110418,2007/07
106030,2008/12
105299,2007/08
105024,2005/07
104837,2008/06
99305,2006/12
98692,2007/02
97791,2005/12
97566,2006/10
97420,2008/03
96997,2007/03
96945,2008/02
96020,2004/12
94289,2007/01
93764,2006/06
93169,2006/07
93090,2008/01
92206,2013/06
92166,2013/07
91212,2004/06
89520,2013/12
89380,2005/06
89103,2005/01
88920,2008/07
88036,2007/04
87507,2005/08
87181,2006/08
86555,2006/03
83548,2004/07
83304,2009/12
82914,2014/06
82855,2007/05
82806,2005/03
82330,2006/09
81915,2007/10
81598,2006/11
80339,2004/01
80309,2009/06
79340,2010/12
78020,2006/05
77798,2004/08
77518,2003/12
77454,2012/07
77051,2015/06
77037,2009/07
76910,2008/04
76894,2008/05
76449,2006/02
76445,2008/08
76060,2014/01
75593,2006/04
75468,2010/07
74881,2014/07
74715,2004/05
74374,2010/06
74218,2009/10
73082,2006/01
72847,2011/04
72772,2007/11
71981,2013/04
71603,2015/07
71538,2004/02
71521,2013/08
71196,2011/07
71153,2011/06
70800,2005/02
70317,2014/12
70143,2004/11
69683,2009/08
69392,2009/03
69216,2009/01
69034,2011/05
68246,2012/12
68222,2014/08
67749,2005/11
67181,2009/04
66977,2012/08
66919,2014/05
66752,2013/05
66573,2009/05
66284,2003/08
65533,2004/10
65258,2015/12
65223,2005/10
64864,2014/02
64752,2011/03
64623,2014/03
64598,2004/03
64405,2010/03
63831,2013/03
63775,2010/05
63746,2003/07
63470,2015/03
63227,2007/09
62808,2015/02
62805,2015/08
62764,2003/11
62591,2011/08
62357,2015/01
61301,2014/10
61153,2011/01
61025,2012/06
60927,2010/08
59932,2010/01
59404,2005/05
59366,2015/05
58579,2014/04
58534,2011/02
58458,2010/02
58312,2004/04
57502,2012/10
55825,2012/03
55790,2005/04
55417,2013/01
55200,2003/06
55180,2015/04
55001,2005/09
54590,2014/11
53358,2008/11
53100,2013/02
53044,2014/09
52764,2012/05
52292,2010/10
51570,2010/11
51556,2012/09
51409,2009/02
51343,2013/10
48702,2011/09
48679,2013/11
48547,2013/09
48026,2016/01
47714,2008/10
46921,2004/09
46725,2012/01
46720,2015/11
46573,2008/09
46453,2011/12
46062,2010/09
45842,2010/04
45374,2011/10
43771,2011/11
43545,2003/10
43343,2009/09
42513,2003/09
41469,2012/11
40883,2012/04
40850,2015/09
40332,2015/10
37900,2012/02
35807,2009/11
